,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
73,6,Wade Drive,Dean,Jones,54,Husband,Married,Male,Ship broker,None,None
74,6,Wade Drive,Leon,Skinner-Jones,22,Son,Single,Male,Clothing/textile technologist,None,None
75,7,Wade Drive,Frances,Williams,47,Head,Divorced,Female,Unemployed,None,None
76,7,Wade Drive,Ellie,Cunningham,8,Daughter,NA,f,Student,None,NA
77,7,Wade Drive,Gordon,Cunningham,4,Son,NA,Male,Child,None,NA
78,8,Wade Drive,Wendy,Potter,28,Head,Divorced,Female,Glass blower/designer,None,None
79,9,Wade Drive,Jayne,Thomas,68,Head,Married,Female,Retired Geophysical data processor,None,None
80,9,Wade Drive,Glen,Thomas,73,Husband,Married,Male,Retired Outdoor activities/education manager,None,Christian
81,9,Wade Drive,Clifford,Thomas,5,Grandson,NA,Male,Student,None,NA
82,10,Wade Drive,Richard,Turner,70,Head,Married,Male,Retired Senior tax professional/tax inspector,None,None
83,10,Wade Drive,Jane,Turner,67,Wife,Married,Female,Emergency planning/management officer,None,None
84,10,Wade Drive,Melissa,Turner,14,Granddaughter,NA,Female,Student,None,NA
85,11,Wade Drive,Heather,Williams,43,Head,M,Female,Financial adviser,None,Methodist
86,11,Wade Drive,Mohammad,Williams,43,Husband,Married,Male,"Psychologist, forensic",None,None
87,11,Wade Drive,Katie,Williams,17,Daughter,NA,Female,Student,None,NA
88,12,Wade Drive,Kathryn,Sims,32,Head,Single,Female,"Scientist, marine",None,Christian
89,13,Wade Drive,Carly,Simpson,36,Head,Divorced,Female,Unemployed,None,Christian
90,13,Wade Drive,Francesca,Simpson,11,Daughter,NA,Female,Student,None,NA
91,13,Wade Drive,Chloe,Simpson,8,Daughter,NA,Female,Student,None,NA
92,13,Wade Drive,Heather,Simpson,8,Daughter,NA,Female,Student,None,NA
93,13,Wade Drive,Norman,Simpson,4,Son,NA,Male,Child,None,NA
94,13,Wade Drive,Linda,McCarthy,59,Lodger,Divorced,Female,Meteorologist,None,Methodist
95,14,Wade Drive,Arthur,Dyer,74,Head,Single,Male,Retired Freight forwarder,None,None
96,15,Wade Drive,Yvonne,Dixon,49,Head,Married,Female,Advertising account planner,None,Methodist
97,15,Wade Drive,Gerard,Dixon,50,Husband,Married,Male,Marine scientist,None,None
98,16,Wade Drive,Jordan,Harding,28,Head,Single,Male,Museum/gallery exhibitions officer,None,Christian
99,17,Wade Drive,Lee,Holland,39,Head,Single,Male,Unemployed,None,None
100,17,Wade Drive,Sandra,Holland,17,Daughter,NA,Female,Student,None,NA
101,17,Wade Drive,Alison,Holland,13,Daughter,NA,F,Student,None,NA
102,17,Wade Drive,Simon,Holland,9,Son,NA,Male,Student,None,NA
103,18,Wade Drive,Eileen,Mason,84,Head,Married,Female,Retired Volunteer coordinator,None,None
104,18,Wade Drive,Paul,Mason,85,Husband,Married,Male,Retired Architect,None,None
105,19,Wade Drive,Catherine,Gardiner,28,Head,Single,Female,"Geologist, wellsite",None,Catholic
106,19,Wade Drive,William,Gardiner,7,Son,NA,Male,Student,None,NA
107,19,Wade Drive,Ricky,Gardiner,2,Son,NA,M,Child,None,NA
108,20,Wade Drive,Hilary,Patel,61,Head,Single,Female,Health promotion specialist,None,Christian
109,20,Wade Drive,Benjamin,Hussain,60,Partner,Single,Male,Solicitor,None,Christian
110,20,Wade Drive,Amelia,Patel,14,Daughter,NA,Female,Student,None,NA
111,21,Wade Drive,Lewis,Wright,42,Head,Divorced,Male,Unemployed,None,Catholic
112,21,Wade Drive,Joseph,Wright,11,Son,NA,Male,Student,None,NA
113,22,Wade Drive,Dawn,Metcalfe,84,Head,Married,Female,Retired Clinical psychologist,None,Christian
114,22,Wade Drive,Robin,Metcalfe,82,Husband,Married,Male,Retired Chiropodist,None,None
115,23,Wade Drive,Caroline,Saunders,22,Head,Single,Female,University Student,None,None
116,23,Wade Drive,Lawrence,Ali,18,None,Single,Male,University Student,None,None
117,23,Wade Drive,Maurice,Hunt,21,None,Single,Male,University Student,None,NA
118,24,Wade Drive,Natalie,Smith,43,Head,Divorced,Female,Advertising account planner,None,None
119,24,Wade Drive,Cheryl,Smith,11,Daughter,NA,Female,Student,None,NA
120,25,Wade Drive,Marie,Pearson,68,Head,Widowed,Female,Retired Banker,None,None
121,26,Wade Drive,Malcolm,Cook,50,Head,Single,Male,Claims inspector/assessor,None,None
122,26,Wade Drive,Catherine,Pratt,49,Partner,Single,Female,Operational investment banker,None,None
123,27,Wade Drive,Tom,Chan,73,Head,Married,Male,Retired Make,None,None
124,27,Wade Drive,Beverley,Chan,73,Wife,Married,Female,Retired Radio producer,None,None
125,28,Wade Drive,Guy,Young,21,Head,Married,Male,Ambulance person,None,None
126,28,Wade Drive,Jacqueline,Young,22,Wife,Married,Female,University Student,None,None
127,29,Wade Drive,Mark,Roberts,18,Head,Single,Male,Student,None,NA
128,30,Wade Drive,Frances,Woods,36,Head,Single,Female,Geophysicist/field seismologist,None,Methodist
129,30,Wade Drive,Leigh,Jones,41,Partner,Single,Male,"Designer, interior/spatial",None,None
130,30,Wade Drive,Dorothy,Woods,17,Daughter,NA,Female,Student,None,NA
131,31,Wade Drive,Kathryn,Smith,68,Head,Married,Female,Retired Glass blower/designer,None,Christian
132,31,Wade Drive,Jeffrey,Smith,73,Husband,Married,Male,Retired Community pharmacist,None,None
133,31,Wade Drive,Leanne,Thomas,25,Granddaughter,Widowed,Female,Broadcast engineer,None,Christian
134,31,Wade Drive,Paula,Thomas,21,Granddaughter,Divorced,Female,University Student,None,Christian
135,32,Wade Drive,Hollie,Page,34,Head,Married,Female,Customer service manager,None,Sikh
136,32,Wade Drive,Robert,Page,35,Husband,Married,male,Telecommunications researcher,None,Sikh
137,32,Wade Drive,Alexandra,Page,12,Daughter,NA,Female,Student,None,NA
138,33,Wade Drive,Gary,Carr,19,Head,Single,Male,University Student,None,Catholic
139,33,Wade Drive,Gemma,Smith,18,None,Single,Female,University Student,None,NA
140,33,Wade Drive,Bernard,McCarthy,20,None,Single,Male,University Student,None,Catholic
141,33,Wade Drive,Abigail,Walsh,22,None,Single,Female,University Student,None,Christian
142,34,Wade Drive,Ashleigh,Smith,51,Head,Married,Female,"Therapist, sports",None,Methodist
143,34,Wade Drive,Ryan,Smith,56,Husband,Married,Male,Health visitor,None,Methodist
144,35,Wade Drive,Jayne,Hughes,23,Head,Single,Female,Hydrogeologist,None,None
145,36,Wade Drive,Joan,Stephenson,39,Head,Married,Female,Purchasing manager,None,Catholic
146,36,Wade Drive,Leonard,Stephenson,43,Husband,Married,Male,Unemployed,None,Catholic
147,36,Wade Drive,Aimee,Stephenson,16,Daughter,NA,Female,Student,None,NA
148,36,Wade Drive,Joel,Stephenson,13,Son,NA,Male,Student,None,NA
149,36,Wade Drive,Bryan,Stephenson,11,Son,NA,Male,Student,None,NA
150,37,Wade Drive,Frances,Newton,31,Head,Single,Female,Engineering geologist,None,None
151,38,Wade Drive,Jasmine,Smith,34,Head,Single,Female,Seismic interpreter,None,Catholic
152,38,Wade Drive,Sean,Smith,1,Son,NA,Male,Child,None,NA
153,39,Wade Drive,Denise,Armstrong,61,Head,Married,Female,Geographical information systems officer,None,Christian
154,39,Wade Drive,Hugh,Armstrong,63,Husband,Married,Male,Unemployed,None,Christian
155,39,Wade Drive,Leslie,Armstrong,14,Son,NA,Male,Student,None,NA
156,39,Wade Drive,Matthew,Armstrong,10,Son,NA,Male,Student,None,NA
157,39,Wade Drive,Emily,Armstrong,7,Daughter,NA,Female,Student,None,NA
158,40,Wade Drive,Rebecca,Richardson,25,Head,Married,Female,Community pharmacist,None,Christian
159,40,Wade Drive,Abdul,Richardson,24,Husband,Married,Male,Regulatory affairs officer,None,Christian
160,41,Wade Drive,Heather,Collins,26,Head,Single,Female,Glass blower/designer,None,None
161,41,Wade Drive,Stuart,Taylor,26,Partner,Single,Male,Insurance broker,None,None
162,41,Wade Drive,Margaret,Collins,6,Daughter,NA,Female,Student,None,NA
163,42,Wade Drive,Howard,Mitchell,56,Head,Single,Male,"Horticulturist, commercial",None,None
164,42,Wade Drive,Lucy,Barry,55,Partner,Single,Female,"Engineer, automotive",None,None
165,43,Wade Drive,Natalie,Patel,44,Head,Married,Female,Ranger/warden,None,Christian
166,43,Wade Drive,Daniel,Patel,48,Husband,Married,Male,"Teacher, music",None,Christian
167,43,Wade Drive,Vincent,Patel,24,Son,Single,Male,"Civil engineer, contracting",None,None
168,1,Northumberland Stream,June,Foster,49,Head,Divorced,Female,Unemployed,None,Catholic
169,1,Northumberland Stream,Nigel,Foster,17,Son,NA,Male,Student,None,NA
170,2,Northumberland Stream,Barry,Bailey,20,Head,Single,Male,Amenity horticulturist,None,None
171,3,Northumberland Stream,Amanda,Dobson,68,Head,Divorced,Female,Retired Actor,None,Catholic
172,4,Northumberland Stream,Hayley,Jones,82,Head,Divorced,Female,Retired Intelligence analyst,None,Christian
173,5,Northumberland Stream,Wayne,Cook,72,Head,Widowed,Male,Retired Media planner,None,Methodist
174,6,Northumberland Stream,Rachael,Sims,41,Head,Single,Female,Unemployed,None,None
175,6,Northumberland Stream,Lee,Sims,12,Son,NA,Male,Student,None,NA
176,6,Northumberland Stream,Albert,Sims,8,Son,NA,Male,Student,None,NA
177,7,Northumberland Stream,Kimberley,King,46,Head,Single,Female,"Research officer, political party",None,None
178,8,Northumberland Stream,Gavin,Singh,61,Head,Married,Male,Building services engineer,None,Christian
179,8,Northumberland Stream,Melissa,Singh,56,Wife,Married,Female,Manufacturing systems engineer,None,Christian
180,9,Northumberland Stream,Hollie,Armstrong,22,Head,Married,Female,University Student,None,Methodist
181,9,Northumberland Stream,Norman,Armstrong,22,Husband,Married,Male,University Student,None,None
182,10,Northumberland Stream,Tom,Jones,69,Head,Divorced,Male,Retired Volunteer coordinator,None,Christian
183,11,Northumberland Stream,Mathew,Taylor,22,Head,Single,Male,University Student,None,Christian
184,11,Northumberland Stream,Ruth,Bell,22,None,Single,Female,University Student,None,Methodist
185,12,Northumberland Stream,Malcolm,Donnelly,35,Head,Single,Male,Seismic interpreter,None,None
186,13,Northumberland Stream,Olivia,Tucker,65,Head,Divorced,Female,Maintenance engineer,None,Methodist
187,14,Northumberland Stream,Karl,Evans,29,Head,Married,Male,Associate Professor,None,Christian
188,14,Northumberland Stream,Linda,Evans,24,Wife,Married,Female,Cabin crew,None,Christian
189,15,Northumberland Stream,Brian,Lee,53,Head,Divorced,Male,Unemployed,None,None
190,16,Northumberland Stream,Megan,Grant,50,Head,Married,Female,Mudlogger,None,None
191,16,Northumberland Stream,Martyn,Grant,50,Husband,Married,Male,"Social research officer, government",None,None
192,16,Northumberland Stream,Carly,Grant,17,Daughter,NA,Female,Student,None,NA
193,17,Northumberland Stream,Andrew,Johnson,39,Head,Single,Male,Office manager,None,Christian
194,18,Northumberland Stream,Terence,Wilson,52,Head,Single,Male,Electrical engineer,None,Methodist
195,19,Northumberland Stream,Catherine,Richardson,60,Head,Married,Female,"Engineer, structural",None,Christian
196,19,Northumberland Stream,Scott,Richardson,63,Husband,Married,Male,Quantity surveyor,None,Christian
197,19,Northumberland Stream,Andrea,Richardson,24,Daughter,Single,Female,Unemployed,None,Christian
198,1,Preston Avenue,Lauren,Miller,57,Head,Single,Female,"Doctor, general practice",None,Catholic
199,1,Preston Avenue,Ian,Watts,54,Partner,Single,Male,"Scientist, research (physical sciences)",None,Catholic
200,1,Preston Avenue,Ashleigh,Miller,25,Daughter,Divorced,Female,Editorial assistant,None,None
201,1,Preston Avenue,Judith,Miller,23,Daughter,Single,Female,"Teacher, secondary school",None,None
202,1,Preston Avenue,Sean,Miller,14,Son,NA,Male,Student,None,NA
203,2,Preston Avenue,Robert,Chapman,68,Head,Married,Male,Retired Fisheries officer,None,Christian
204,2,Preston Avenue,Anna,Chapman,66,Wife,Married,Female,Chartered management accountant,None,Christian
205,3,Preston Avenue,Ian,Robson,39,Head,Single,Male,Clinical biochemist,None,Catholic
206,3,Preston Avenue,Hilary,Davison,44,Partner,Single,Female,Research scientist (medical),None,Catholic
207,4,Preston Avenue,Gillian,Marsh,18,Head,Divorced,Female,Student,None,NA
208,5,Preston Avenue,Jay,Dickinson,31,Head,Single,Male,Forest/woodland manager,None,None
209,5,Preston Avenue,Nicola,Cole,26,Partner,Single,Female,Media buyer,None,None
210,6,Preston Avenue,Dawn,Price,32,Head,Single,Female,Furniture conservator/restorer,None,None
211,7,Preston Avenue,Joan,Stone,20,Head,Single,Female,University Student,None,Catholic
212,7,Preston Avenue,Sam,Bibi,51,None,Single,Male,Radio producer,None,None
213,8,Preston Avenue,Rebecca,Todd,75,Head,Divorced,Female,Retired Herpetologist,None,None
214,1,Mills Street,Jessica,Burrows,31,Head,Single,Female,Health promotion specialist,None,None
215,1,Mills Street,Jake,Clark,35,Partner,Single,Male,Charity officer,None,None
216,1,Mills Street,Kathleen,Burrows,7,Daughter,NA,Female,Student,None,NA
217,1,Mills Street,Zoe,Burrows,6,Daughter,NA,Female,Student,None,NA
218,1,Mills Street,Dominic,Burrows,0,Son,NA,Male,Child,None,NA
219,2,Mills Street,Emily,Jenkins,39,Head,Single,Female,Company secretary,None,Catholic
220,2,Mills Street,Karl,Morris,42,Partner,Single,Male,"Engineer, civil (consulting)",None,Catholic
221,2,Mills Street,Richard,Jenkins,17,Son,NA,Male,Student,None,NA
222,3,Mills Street,Amber,Jackson,53,Head,Married,Female,Homeopath,None,Christian
223,3,Mills Street,Alexander,Jackson,55,Husband,M,Male,Immunologist,None,Catholic
224,3,Mills Street,Louis,Jackson,23,Son,Single,Male,Minerals surveyor,None,Christian
225,4,Mills Street,Nicola,Moss,34,Head,Single,Female,Legal executive,None,None
226,4,Mills Street,Adrian,Evans,34,Partner,Single,Male,Musician,None,None
227,5,Mills Street,Russell,Whittaker,28,Head,Single,Male,Minerals surveyor,None,None
228,5,Mills Street,Angela,Nicholson,28,Partner,Single,Female,"Producer, television/film/video",None,None
229,6,Mills Street,Emily,Power,37,Head,Single,Female,Unemployed,None,None
230,6,Mills Street,Paul,Power,6,Son,NA,Male,Student,None,NA
231,6,Mills Street,Adam,Power,1,Son,NA,Male,Child,None,NA
232,6,Mills Street,Douglas,Williams,23,Lodger,Single,Male,Location manager,None,None
233,6,Mills Street,Ruth,Taylor,22,Sibling,Single,Female,University Student,None,Methodist
234,7,Mills Street,Teresa,Todd,34,Head,Divorced,Female,Unemployed,None,Methodist
235,7,Mills Street,Chelsea,Todd,6,Daughter,NA,Female,Student,None,NA
236,7,Mills Street,Jordan,Todd,2,Son,NA,Male,Child,None,NA
237,7,Mills Street,John,Cook,20,Lodger,Divorced,Male,University Student,None,Methodist
238,8,Mills Street,Diana,Cole,38,Head,Single,Female,Unemployed,None,Catholic
239,8,Mills Street,Denise,Cole,14,Daughter,NA,Female,Student,None,NA
240,8,Mills Street,Christine,Cole,11,Daughter,NA,Female,Student,None,NA
241,8,Mills Street,Maureen,Cole,8,Daughter,NA,Female,Student,None,NA
242,8,Mills Street,Jeremy,Cole,4,Son,NA,Male,Child,None,NA
243,9,Mills Street,Aimee,Richards,33,Head,Divorced,Female,"Horticulturist, amenity",None,Christian
244,9,Mills Street,Howard,Richards,3,Son,NA,M,Child,None,NA
245,10,Mills Street,Tom,Mitchell,66,Head,Married,Male,Senior tax professional/tax inspector,None,Christian
246,10,Mills Street,Georgina,Mitchell,61,Wife,Married,Female,Interior and spatial designer,None,Christian
247,11,Mills Street,Dawn,Donnelly,65,Head,Married,Female,Unemployed,None,Christian
248,11,Mills Street,Thomas,Donnelly,73,Husband,Married,Male,"Retired Surveyor, land/geomatics",None,Christian
249,12,Mills Street,Naomi,Wood,32,Head,Married,Female,"Administrator, sports",None,Catholic
250,12,Mills Street,William,Wood,37,Husband,Married,Male,Architect,None,Christian
251,12,Mills Street,Ricky,Wood,5,Son,NA,Male,Student,None,NA
252,12,Mills Street,Joe,Wood,4,Son,NA,Male,Child,None,NA
253,12,Mills Street,Tom,Wood,2,Son,NA,Male,Child,None,NA
254,13,Mills Street,Carl,Hale,76,Head,Widowed,Male,"Retired Production designer, theatre/television/film",None,Catholic
255,13,Mills Street,Sally,Hale,12,Granddaughter,NA,Female,Student,None,NA
256,14,Mills Street,Kayleigh,Wood,53,Head,Married,Female,Mudlogger,None,Christian
257,14,Mills Street,Danny,Wood,54,Husband,Married,Male,Farm manager,None,Christian
258,14,Mills Street,Adam,Wood,21,Son,Single,Male,University Student,None,Christian
259,14,Mills Street,Joshua,Wood,18,Son,Single,Male,Student,None,Christian
260,14,Mills Street,Wendy,Wood,16,Daughter,NA,Female,Student,None,NA
261,15,Mills Street,June,Carey,50,Head,Married,Female,"Sales professional, IT",None,None
262,15,Mills Street,Lee,Carey,56,Husband,Married,Male,Animator,None,None
263,15,Mills Street,Rachel,Carey,26,Daughter,Single,Female,Brewing technologist,None,None
264,15,Mills Street,Elliott,Carey,22,Son,Single,Male,University Student,None,None
265,15,Mills Street,Toby,Carey,14,Son,NA,Male,Student,None,NA
266,16,Mills Street,Liam,Pugh,31,Head,Single,Male,Unemployed,None,None
267,16,Mills Street,Christine,Atkinson,33,Partner,Single,Female,Ambulance person,None,None
268,1,St.Luke Wall,Ann,Smith,23,Head,Single,Female,Marine scientist,None,Catholic
269,2,St.Luke Wall,Tina,Higgins,54,Head,Married,Female,Community education officer,None,Methodist
270,2,St.Luke Wall,Tom,Higgins,52,Husband,Married,Male,Chief Technology Officer,None,None
271,3,St.Luke Wall,Shirley,Day,34,Head,Divorced,Female,"Accountant, chartered",None,None
272,3,St.Luke Wall,Jayne,Day,14,Neice,NA,Female,Student,None,NA
273,4,St.Luke Wall,Bryan,Jones,49,Head,Single,Male,Education administrator,None,Christian
274,4,St.Luke Wall,Chloe,Norman,55,Partner,Single,Female,Sales promotion account executive,None,Christian
275,5,St.Luke Wall,Bradley,Rowley,19,Head,Single,Male,Environmental health practitioner,None,None
276,6,St.Luke Wall,Hilary,Price,68,Head,Married,Female,Retired Environmental education officer,None,Christian
277,6,St.Luke Wall,Norman,Price,74,Husband,Married,Male,Retired Sports administrator,None,None
278,7,St.Luke Wall,Aimee,Phillips,47,Head,Divorced,Female,Best boy,None,None
279,7,St.Luke Wall,Ian,Phillips,13,Son,NA,Male,Student,None,NA
280,8,St.Luke Wall,Rachel,Lowe,65,Head,Married,Female,Set designer,None,Christian
281,8,St.Luke Wall,Benjamin,Lowe,66,Husband,Married,Male,Chiropodist,None,Christian
282,9,St.Luke Wall,Geoffrey,Adams,20,Head,Single,Male,University Student,None,Catholic
283,10,St.Luke Wall,Graeme,Collins,83,Head,Widowed,Male,"Retired Surveyor, minerals",None,Methodist
284,10,St.Luke Wall,Hannah,Williams,25,Granddaughter,Single,Female,"Designer, fashion/clothing",None,Methodist
285,10,St.Luke Wall,Jodie,Williams,21,Granddaughter,Single,Female,University Student,None,Methodist
286,10,St.Luke Wall,Lee,Williams,21,Grandson,Single,Male,University Student,None,Methodist
287,11,St.Luke Wall,Jake,Fox,41,Head,Single,Male,Acupuncturist,None,Christian
288,12,St.Luke Wall,Danielle,Scott,78,Head,Widowed,Female,"Retired Lecturer, further education",None,None
289,13,St.Luke Wall,Raymond,Atkins,71,Head,Married,Male,Retired Senior tax professional/tax inspector,None,Catholic
290,13,St.Luke Wall,Pauline,Atkins,68,Wife,Married,Female,Retired Quantity surveyor,None,Catholic
291,14,St.Luke Wall,Amber,Morgan,66,Head,Widowed,Female,Herpetologist,None,Muslim
292,15,St.Luke Wall,Charlene,Oliver,52,Head,Married,Female,"Editor, magazine features",None,None
293,15,St.Luke Wall,Hugh,Oliver,54,Husband,Married,Male,Tree surgeon,None,None
294,15,St.Luke Wall,Irene,Oliver,9,Daughter,NA,Female,Student,None,NA
295,15,St.Luke Wall,Robin,Oliver,5,Son,NA,Male,Student,None,NA
296,15,St.Luke Wall,Katy,Oliver,2,Daughter,NA,Female,Child,None,NA
297,16,St.Luke Wall,Harry,Evans,52,Head,Married,Male,Statistician,None,None
298,16,St.Luke Wall,Dorothy,Evans,50,Wife,Married,Female,Tax adviser,None,None
299,17,St.Luke Wall,Georgia,Ellis,41,Head,Single,Female,"Engineer, maintenance",None,Methodist
300,17,St.Luke Wall,Marc,Jones,44,Partner,Single,Male,Professor Emeritus,None,Methodist
301,17,St.Luke Wall,Alice,Ellis,5,Daughter,NA,Female,Student,None,NA
302,17,St.Luke Wall,Joe,Ellis,5,Son,NA,Male,Student,None,NA
303,17,St.Luke Wall,Gerard,Ellis,2,Adopted Son,NA,Male,Child,None,NA
304,18,St.Luke Wall,Maureen,Johnson,42,Head,Single,Female,Chief Executive Officer,None,None
305,18,St.Luke Wall,Gillian,Cox,63,Lodger,Divorced,Female,Systems developer,None,Catholic
306,18,St.Luke Wall,Michael,Howard,32,Visitor,Single,Male,Politician's assistant,None,Methodist
307,18,St.Luke Wall,Maria,Hardy,42,Lodger,Single,Female,Freight forwarder,None,Catholic
308,19,St.Luke Wall,Stuart,Brown,64,Head,Single,Male,Emergency planning/management officer,None,None
309,19,St.Luke Wall,Philip,Smith,24,None,Single,Male,Planning and development surveyor,None,None
